i,	j,	accuracy
4,	17,	0.5893
4,	18,	0.5982
4,	19,	0.7589
4,	20,	0.5089
4,	21,	0.6875
4,	22,	0.5625
4,	23,	0.6875
4,	24,	0.6250
4,	25,	0.6696
4,	26,	0.6875
4,	27,	0.6607
4,	28,	0.6964
4,	29,	0.8571
4,	30,	0.5982
4,	31,	0.5893
4,	32,	0.8125
4,	33,	0.7232
4,	34,	0.8125
4,	35,	0.7500
4,	36,	0.7411
4,	37,	0.8750
4,	38,	0.4821
4,	39,	0.5446
5,	17,	0.6607
5,	18,	0.6518
5,	19,	0.7143
5,	20,	0.5714
5,	21,	0.5446
5,	22,	0.4554
5,	23,	0.7500
5,	24,	0.6518
5,	25,	0.7232
5,	26,	0.5714
5,	27,	0.4643
5,	28,	0.4643
5,	29,	0.8393
5,	30,	0.5893
5,	31,	0.7411
5,	32,	0.8304
5,	33,	0.7768
5,	34,	0.6161
5,	35,	0.7411
5,	36,	0.8393
5,	37,	0.7054
5,	38,	0.3661
5,	39,	0.7946
