i,	j,	accuracy
0,	0,	0.6786
0,	1,	0.2500
0,	2,	0.5804
0,	3,	0.6696
0,	4,	0.8125
0,	5,	0.7500
0,	6,	0.7411
0,	7,	0.6250
0,	8,	0.6696
0,	9,	0.6161
0,	10,	0.8571
0,	11,	0.6786
0,	12,	0.7054
0,	13,	0.7857
0,	14,	0.5804
0,	15,	0.7500
0,	16,	0.5000
0,	17,	0.7054
0,	18,	0.5625
0,	19,	0.7411
0,	20,	0.3839
0,	21,	0.5268
0,	22,	0.5714
0,	23,	0.5893
0,	24,	0.7857
0,	25,	0.6339
0,	26,	0.5446
0,	27,	0.6696
0,	28,	0.5179
0,	29,	0.8304
0,	30,	0.5357
0,	31,	0.7054
0,	32,	0.3571
0,	33,	0.7411
0,	34,	0.7321
0,	35,	0.5625
0,	36,	0.7411
0,	37,	0.5893
0,	38,	0.5268
0,	39,	0.6250
