i,	j,	accuracy
0,	0,	0.6250
0,	1,	0.6696
0,	2,	0.6250
0,	3,	0.5268
0,	4,	0.5982
0,	5,	0.6429
0,	6,	0.6339
0,	7,	0.6161
0,	8,	0.5357
0,	9,	0.7054
0,	10,	0.7321
0,	11,	0.7679
0,	12,	0.7054
0,	13,	0.7857
0,	14,	0.4464
0,	15,	0.7768
0,	16,	0.5536
0,	17,	0.7857
0,	18,	0.6071
0,	19,	0.7500
0,	20,	0.5893
0,	21,	0.5625
0,	22,	0.4464
0,	23,	0.7500
0,	24,	0.6696
0,	25,	0.5714
0,	26,	0.5893
0,	27,	0.6607
0,	28,	0.6696
0,	29,	0.8571
0,	30,	0.6696
0,	31,	0.6339
0,	32,	0.7321
0,	33,	0.7411
0,	34,	0.6071
0,	35,	0.7768
0,	36,	0.7589
0,	37,	0.7857
0,	38,	0.3929
0,	39,	0.8036
1,	0,	0.8304
1,	1,	0.5804
1,	2,	0.5982
1,	3,	0.6339
1,	4,	0.8036
1,	5,	0.5982
1,	6,	0.5893
1,	7,	0.7054
1,	8,	0.5893
1,	9,	0.7232
1,	10,	0.7589
1,	11,	0.6875
1,	12,	0.6786
1,	13,	0.8304
1,	14,	0.4464
1,	15,	0.8304
1,	16,	0.5446
1,	17,	0.6250
1,	18,	0.6161
1,	19,	0.8393
1,	20,	0.4107
1,	21,	0.7679
1,	22,	0.4196
1,	23,	0.6875
1,	24,	0.4911
1,	25,	0.5000
1,	26,	0.8304
1,	27,	0.4911
1,	28,	0.6339
1,	29,	0.7857
1,	30,	0.7143
1,	31,	0.6250
1,	32,	0.7768
1,	33,	0.7143
1,	34,	0.8839
1,	35,	0.8304
1,	36,	0.8482
1,	37,	0.7589
1,	38,	0.3661
1,	39,	0.7857
2,	0,	0.6607
2,	1,	0.4821
2,	2,	0.5000
2,	3,	0.2589
2,	4,	0.6964
2,	5,	0.6161
2,	6,	0.6339
2,	7,	0.5893
2,	8,	0.4911
2,	9,	0.6607
2,	10,	0.8929
2,	11,	0.8482
2,	12,	0.7143
2,	13,	0.8571
2,	14,	0.3125
2,	15,	0.7768
2,	16,	0.5446
2,	17,	0.5000
2,	18,	0.7946
2,	19,	0.7411
2,	20,	0.6071
2,	21,	0.6339
2,	22,	0.4286
2,	23,	0.7679
2,	24,	0.5714
2,	25,	0.7500
2,	26,	0.7054
2,	27,	0.4911
2,	28,	0.6607
2,	29,	0.8750
2,	30,	0.5982
2,	31,	0.6964
2,	32,	0.8036
2,	33,	0.7143
2,	34,	0.8393
2,	35,	0.7500
2,	36,	0.6161
2,	37,	0.6071
2,	38,	0.0893
2,	39,	0.7143
