i,	j,	accuracy
2,	0,	0.6607
2,	1,	0.4821
2,	2,	0.5000
2,	3,	0.2589
2,	4,	0.6964
2,	5,	0.6161
2,	6,	0.6339
2,	7,	0.5893
2,	8,	0.4911
2,	9,	0.6607
2,	10,	0.8929
2,	11,	0.8482
2,	12,	0.7143
2,	13,	0.8571
2,	14,	0.3125
2,	15,	0.7768
2,	16,	0.5446
2,	17,	0.5000
2,	18,	0.7946
2,	19,	0.7411
2,	20,	0.6071
2,	21,	0.6339
2,	22,	0.4286
2,	23,	0.7679
2,	24,	0.5714
2,	25,	0.7500
2,	26,	0.7054
2,	27,	0.4911
2,	28,	0.6607
2,	29,	0.8750
2,	30,	0.5982
2,	31,	0.6964
2,	32,	0.8036
2,	33,	0.7143
2,	34,	0.8393
2,	35,	0.7500
2,	36,	0.6161
2,	37,	0.6071
2,	38,	0.0893
2,	39,	0.7143
