i,	j,	accuracy
0,	0,	0.7411
0,	1,	0.7321
0,	2,	0.6429
0,	3,	0.6161
0,	4,	0.6607
0,	5,	0.6786
0,	6,	0.7232
0,	7,	0.7232
0,	8,	0.5357
0,	9,	0.5714
0,	10,	0.8393
0,	11,	0.5714
0,	12,	0.6964
0,	13,	0.8929
0,	14,	0.4107
0,	15,	0.8661
0,	16,	0.3661
0,	17,	0.6875
0,	18,	0.5804
0,	19,	0.6964
0,	20,	0.5446
0,	21,	0.5357
0,	22,	0.6250
0,	23,	0.6696
0,	24,	0.6786
0,	25,	0.5982
0,	26,	0.6429
0,	27,	0.6964
0,	28,	0.5714
0,	29,	0.8839
0,	30,	0.6071
0,	31,	0.6071
0,	32,	0.4821
0,	33,	0.8661
0,	34,	0.5982
0,	35,	0.7500
0,	36,	0.7411
0,	37,	0.6161
0,	38,	0.2500
0,	39,	0.5804
1,	0,	0.7411
1,	1,	0.7321
1,	2,	0.6429
1,	3,	0.6161
1,	4,	0.6607
