i,	j,	accuracy
0,	0,	0.6786
0,	1,	0.2500
0,	2,	0.5804
0,	3,	0.6696
0,	4,	0.8125
0,	5,	0.7500
0,	6,	0.7411
0,	7,	0.6250
0,	8,	0.6696
0,	9,	0.6161
0,	10,	0.8571
0,	11,	0.6786
0,	12,	0.7054
0,	13,	0.7857
0,	14,	0.5804
0,	15,	0.7500
0,	16,	0.5000
0,	17,	0.7054
0,	18,	0.5625
0,	19,	0.7411
0,	20,	0.3839
0,	21,	0.5268
0,	22,	0.5714
0,	23,	0.5893
0,	24,	0.7857
0,	25,	0.6339
0,	26,	0.5446
0,	27,	0.6696
0,	28,	0.5179
0,	29,	0.8304
0,	30,	0.5357
0,	31,	0.7054
0,	32,	0.3571
0,	33,	0.7411
0,	34,	0.7321
0,	35,	0.5625
0,	36,	0.7411
0,	37,	0.5893
0,	38,	0.5268
0,	39,	0.6250
1,	0,	0.6786
1,	1,	0.2500
1,	2,	0.5804
1,	3,	0.6696
1,	4,	0.8125
1,	5,	0.7500
1,	6,	0.7411
1,	7,	0.6250
1,	8,	0.6696
1,	9,	0.6161
1,	10,	0.8571
1,	11,	0.6786
1,	12,	0.7054
1,	13,	0.7857
1,	14,	0.5804
1,	15,	0.7500
1,	16,	0.5000
1,	17,	0.7054
1,	18,	0.5625
1,	19,	0.7411
1,	20,	0.3839
1,	21,	0.5268
1,	22,	0.5714
1,	23,	0.5893
1,	24,	0.7857
1,	25,	0.6339
1,	26,	0.5446
1,	27,	0.6696
1,	28,	0.5179
1,	29,	0.8304
1,	30,	0.5357
1,	31,	0.7054
1,	32,	0.3571
1,	33,	0.7411
1,	34,	0.7321
1,	35,	0.5625
1,	36,	0.7411
1,	37,	0.5893
1,	38,	0.5268
1,	39,	0.6250
2,	0,	0.6786
2,	1,	0.2500
2,	2,	0.5804
2,	3,	0.6696
2,	4,	0.8125
2,	5,	0.7500
2,	6,	0.7411
2,	7,	0.6250
2,	8,	0.6696
2,	9,	0.6161
2,	10,	0.8571
2,	11,	0.6786
2,	12,	0.7054
2,	13,	0.7857
2,	14,	0.5804
2,	15,	0.7500
2,	16,	0.5000
2,	17,	0.7054
2,	18,	0.5625
2,	19,	0.7411
2,	20,	0.3839
2,	21,	0.5268
2,	22,	0.5714
2,	23,	0.5893
2,	24,	0.7857
2,	25,	0.6339
2,	26,	0.5446
2,	27,	0.6696
2,	28,	0.5179
2,	29,	0.8304
2,	30,	0.5357
2,	31,	0.7054
2,	32,	0.3571
2,	33,	0.7411
2,	34,	0.7321
2,	35,	0.5625
2,	36,	0.7411
2,	37,	0.5893
2,	38,	0.5268
2,	39,	0.6250
