i,	j,	accuracy
0,	0,	0.6250
0,	1,	0.6696
0,	2,	0.6250
0,	3,	0.5268
0,	4,	0.5982
0,	5,	0.6429
0,	6,	0.6339
0,	7,	0.6161
0,	8,	0.5357
0,	9,	0.7054
0,	10,	0.7321
0,	11,	0.7679
0,	12,	0.7054
0,	13,	0.7857
0,	14,	0.4464
0,	15,	0.7768
0,	16,	0.5536
0,	17,	0.7857
0,	18,	0.6071
0,	19,	0.7500
0,	20,	0.5893
0,	21,	0.5625
0,	22,	0.4464
0,	23,	0.7500
0,	24,	0.6696
0,	25,	0.5714
0,	26,	0.5893
0,	27,	0.6607
0,	28,	0.6696
0,	29,	0.8571
0,	30,	0.6696
0,	31,	0.6339
0,	32,	0.7321
0,	33,	0.7411
0,	34,	0.6071
0,	35,	0.7768
0,	36,	0.7589
0,	37,	0.7857
0,	38,	0.3929
0,	39,	0.8036
1,	0,	0.8304
1,	1,	0.5804
