i,	j,	accuracy
1,	0,	0.8304
1,	1,	0.5804
1,	2,	0.5982
1,	3,	0.6339
1,	4,	0.8036
1,	5,	0.5982
1,	6,	0.5893
1,	7,	0.7054
1,	8,	0.5893
1,	9,	0.7232
1,	10,	0.7589
1,	11,	0.6875
1,	12,	0.6786
1,	13,	0.8304
1,	14,	0.4464
1,	15,	0.8304
1,	16,	0.5446
1,	17,	0.6250
1,	18,	0.6161
1,	19,	0.8393
1,	20,	0.4107
1,	21,	0.7679
1,	22,	0.4196
1,	23,	0.6875
1,	24,	0.4911
1,	25,	0.5000
1,	26,	0.8304
1,	27,	0.4911
1,	28,	0.6339
1,	29,	0.7857
1,	30,	0.7143
1,	31,	0.6250
1,	32,	0.7768
1,	33,	0.7143
1,	34,	0.8839
1,	35,	0.8304
1,	36,	0.8482
1,	37,	0.7589
1,	38,	0.3661
1,	39,	0.7857
2,	0,	0.6607
2,	1,	0.4821
2,	2,	0.5000
2,	3,	0.2589
2,	4,	0.6964
2,	5,	0.6161
2,	6,	0.6339
2,	7,	0.5893
2,	8,	0.4911
