i,	j,	accuracy
0,	0,	0.8304
0,	1,	0.6875
0,	2,	0.5982
0,	3,	0.8125
0,	4,	0.7321
0,	5,	0.5982
0,	6,	0.7232
0,	7,	0.6250
0,	8,	0.5089
0,	9,	0.6071
0,	10,	0.6607
0,	11,	0.7232
0,	12,	0.7232
0,	13,	0.7857
0,	14,	0.5000
0,	15,	0.8661
0,	16,	0.5536
0,	17,	0.5982
0,	18,	0.7232
0,	19,	0.6964
0,	20,	0.3839
0,	21,	0.5982
0,	22,	0.4643
0,	23,	0.7411
0,	24,	0.5268
0,	25,	0.8036
0,	26,	0.5089
0,	27,	0.4821
0,	28,	0.6071
0,	29,	0.7946
0,	30,	0.6339
0,	31,	0.5893
0,	32,	0.7054
0,	33,	0.7321
0,	34,	0.7232
0,	35,	0.7679
0,	36,	0.7500
0,	37,	0.7411
0,	38,	0.4286
0,	39,	0.7679
